# MULLIKEN CHARGES of excited state   1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.33441259
    2      -0.20324312
    3      -0.10227030
    4       0.26865575
    5       0.20616880
    6       0.16510145
