 
  Energy       1     7.5171691142E-02 eV  D
 
  Transition         Weight        KS [eV]
 =============================================
    2   ->    10 D   0.00000154    26.54929444
    2   ->     8 D   0.00000144    20.60811654
    3   ->    12 D   0.00000142    31.36976085
    2   ->     7 D   0.00000139     8.91636418
    1   ->    10 D   0.00000090    32.61604992
    6   ->    11 U   0.00000077    20.07238771
    5   ->    10 D   0.00000053    21.73303494
    1   ->     7 D   0.00000040    14.98311966
    3   ->    11 D   0.00000034    25.49583446
    5   ->     8 U   0.00000029    15.71373619
    4   ->    11 D   0.00000024    23.80660049
    2   ->    11 D   0.00000018    28.13840922
    5   ->    11 D   0.00000006    23.32214971
    6   ->    12 U   0.00000005    25.40919335
    6   ->    12 D   0.00000005    25.14862116
    4   ->     9 D   0.00000005    18.65788308
    3   ->    10 D   0.00000003    23.90671968
    6   ->     7 D   0.00000001     0.05264973
    6   ->    11 D   0.00000000    19.27469476
    1   ->     8 D   0.00000000    26.67487202
 
  Energy       3     4.5693454696E+00 eV  D
 
  Transition         Weight        KS [eV]
 =============================================
    4   ->     7 D   0.99999916     4.58455546
    5   ->     8 U   0.00096500    15.71373619
    7   ->     8 U   0.00070810    11.25347032
    2   ->     9 U   0.00026872    23.08589504
    4   ->     9 U   0.00019386    18.69399496
    3   ->     9 U   0.00016585    20.06437024
    6   ->     9 U   0.00014321    14.58103049
    5   ->     7 D   0.00013849     4.10010468
    4   ->    10 U   0.00013258    22.46669327
    6   ->    10 U   0.00012701    18.35372880
    5   ->     9 U   0.00010310    18.21080369
    6   ->     8 D   0.00007961    11.74440209
    5   ->     8 D   0.00005870    15.79185704
    2   ->    12 U   0.00005741    33.91405790
    4   ->    11 U   0.00003304    24.18535217
    7   ->     9 U   0.00003121    13.75053782
    3   ->     7 D   0.00003053     6.27378942
    1   ->    12 U   0.00003032    39.76265742
    1   ->    11 U   0.00002832    34.42585177
    2   ->     7 D   0.00002545     8.91636418
    6   ->    11 U   0.00002437    20.07238771
    4   ->     9 D   0.00002213    18.65788308
    6   ->    12 U   0.00001874    25.40919335
    1   ->    10 U   0.00001665    32.70719287
    3   ->    11 U   0.00001361    25.55572746
    2   ->     9 D   0.00001157    22.98969180
    4   ->     8 U   0.00001040    16.19692745
    5   ->    10 U   0.00000841    21.98350200
    4   ->    12 U   0.00000722    29.52215782
    4   ->     8 D   0.00000631    16.27630782
    2   ->    10 U   0.00000608    26.85859336
    3   ->    10 D   0.00000594    23.90671968
    5   ->     9 D   0.00000429    18.17343230
    3   ->    12 U   0.00000324    30.89253310
    2   ->    11 D   0.00000303    28.13840922
    7   ->    11 U   0.00000292    19.24189504
    5   ->    11 U   0.00000290    23.70216091
    4   ->    10 D   0.00000278    22.21748572
    2   ->    10 D   0.00000271    26.54929444
    7   ->    10 U   0.00000268    17.52323614
    1   ->     9 U   0.00000261    28.93449456
    2   ->     8 D   0.00000176    20.60811654
    2   ->    12 D   0.00000131    34.01233561
    1   ->     9 D   0.00000128    29.05644728
    1   ->     7 D   0.00000117    14.98311966
    3   ->     8 U   0.00000116    17.56730274
    1   ->    12 D   0.00000110    40.07909109
    6   ->     8 U   0.00000096    12.08396299
    4   ->    12 D   0.00000081    29.68052689
    2   ->    11 U   0.00000078    28.57725226
    1   ->    11 D   0.00000050    34.20516469
    1   ->    10 D   0.00000037    32.61604992
    7   ->    12 U   0.00000025    24.57870068
    3   ->    10 U   0.00000024    23.83706856
    3   ->     8 D   0.00000021    17.96554179
    3   ->    12 D   0.00000020    31.36976085
    5   ->    10 D   0.00000019    21.73303494
    3   ->     9 D   0.00000019    20.34711704
    1   ->     8 D   0.00000015    26.67487202
    6   ->    12 D   0.00000010    25.14862116
    2   ->     8 U   0.00000010    20.58882754
    5   ->    11 D   0.00000008    23.32214971
    6   ->     9 D   0.00000004    14.12597735
    6   ->    11 D   0.00000004    19.27469476
    4   ->    11 D   0.00000004    23.80660049
    6   ->    10 D   0.00000002    17.68557999
    1   ->     8 U   0.00000001    26.43742705
    3   ->    11 D   0.00000001    25.49583446
    5   ->    12 D   0.00000001    29.19607611
    5   ->    12 U   0.00000001    29.03896655
    6   ->     7 D   0.00000000     0.05264973
 
  Energy       4     6.4691882450E+00 eV  D
 
  Transition         Weight        KS [eV]
 =============================================
    3   ->     7 D   0.99999793     6.27378942
    6   ->     8 D   0.00104177    11.74440209
    7   ->     8 U   0.00093389    11.25347032
    4   ->    12 U   0.00083879    29.52215782
    5   ->     7 D   0.00059729     4.10010468
    1   ->    12 U   0.00047356    39.76265742
    5   ->     8 U   0.00045432    15.71373619
    6   ->    10 U   0.00040586    18.35372880
    4   ->    12 D   0.00038213    29.68052689
    6   ->     9 U   0.00033905    14.58103049
    2   ->    12 U   0.00022564    33.91405790
    3   ->     9 U   0.00022501    20.06437024
    1   ->    12 D   0.00019694    40.07909109
    1   ->    11 U   0.00017256    34.42585177
    4   ->     8 U   0.00014525    16.19692745
    7   ->     9 U   0.00012597    13.75053782
    4   ->    10 U   0.00010052    22.46669327
    4   ->     9 U   0.00009929    18.69399496
    2   ->    12 D   0.00008494    34.01233561
    3   ->    12 U   0.00006546    30.89253310
    1   ->     9 U   0.00006448    28.93449456
    2   ->     9 D   0.00005545    22.98969180
    2   ->     7 D   0.00005377     8.91636418
    6   ->    12 U   0.00005291    25.40919335
    1   ->     9 D   0.00004317    29.05644728
    1   ->    10 U   0.00003566    32.70719287
    3   ->     8 U   0.00003143    17.56730274
    6   ->     9 D   0.00002490    14.12597735
    4   ->     8 D   0.00002347    16.27630782
    1   ->    11 D   0.00002328    34.20516469
    3   ->    10 U   0.00002176    23.83706856
    2   ->    11 U   0.00002086    28.57725226
    3   ->    12 D   0.00001874    31.36976085
    5   ->    12 U   0.00001776    29.03896655
    7   ->    10 U   0.00001767    17.52323614
    1   ->    10 D   0.00001675    32.61604992
    3   ->    11 U   0.00001541    25.55572746
    5   ->    12 D   0.00001536    29.19607611
    2   ->     9 U   0.00001345    23.08589504
    4   ->     7 D   0.00001335     4.58455546
    3   ->     9 D   0.00001290    20.34711704
    6   ->    10 D   0.00001222    17.68557999
    4   ->    11 D   0.00001206    23.80660049
    4   ->    10 D   0.00001153    22.21748572
    2   ->    10 D   0.00001135    26.54929444
    5   ->     8 D   0.00000700    15.79185704
    6   ->    11 U   0.00000669    20.07238771
    6   ->     8 U   0.00000467    12.08396299
    7   ->    11 U   0.00000412    19.24189504
    1   ->     8 D   0.00000335    26.67487202
    2   ->     8 D   0.00000326    20.60811654
    3   ->     8 D   0.00000218    17.96554179
    7   ->    12 U   0.00000210    24.57870068
    3   ->    10 D   0.00000194    23.90671968
    1   ->     7 D   0.00000177    14.98311966
    4   ->    11 U   0.00000161    24.18535217
    4   ->     9 D   0.00000125    18.65788308
    6   ->    12 D   0.00000122    25.14862116
    2   ->     8 U   0.00000069    20.58882754
    1   ->     8 U   0.00000066    26.43742705
    2   ->    10 U   0.00000049    26.85859336
    5   ->     9 D   0.00000042    18.17343230
    6   ->    11 D   0.00000030    19.27469476
    5   ->    11 U   0.00000017    23.70216091
    5   ->    10 D   0.00000006    21.73303494
    2   ->    11 D   0.00000006    28.13840922
    5   ->    10 U   0.00000004    21.98350200
    6   ->     7 D   0.00000004     0.05264973
    3   ->    11 D   0.00000003    25.49583446
    5   ->    11 D   0.00000000    23.32214971
    5   ->     9 U   0.00000000    18.21080369
 
  Energy       5     8.8997699360E+00 eV  D
 
  Transition         Weight        KS [eV]
 =============================================
    2   ->     7 D   0.99998786     8.91636418
    7   ->     8 U   0.00387028    11.25347032
    5   ->     8 U   0.00261753    15.71373619
    4   ->     9 U   0.00103721    18.69399496
    6   ->     8 D   0.00077294    11.74440209
    6   ->     9 U   0.00057167    14.58103049
    5   ->     9 U   0.00029363    18.21080369
    3   ->    11 U   0.00024859    25.55572746
    2   ->    10 U   0.00023951    26.85859336
    5   ->     8 D   0.00023652    15.79185704
    6   ->    10 U   0.00021324    18.35372880
    7   ->     9 U   0.00019633    13.75053782
    3   ->     9 U   0.00017410    20.06437024
    2   ->     9 U   0.00016736    23.08589504
    1   ->    12 U   0.00009871    39.76265742
    2   ->    12 U   0.00009353    33.91405790
    6   ->    12 U   0.00008227    25.40919335
    1   ->     9 U   0.00007064    28.93449456
    2   ->     9 D   0.00005385    22.98969180
    4   ->     9 D   0.00004985    18.65788308
    6   ->    11 U   0.00003269    20.07238771
    1   ->    10 U   0.00003187    32.70719287
    3   ->     7 D   0.00002642     6.27378942
    4   ->     8 D   0.00002441    16.27630782
    4   ->     8 U   0.00002179    16.19692745
    3   ->    10 U   0.00002163    23.83706856
    5   ->    10 U   0.00002070    21.98350200
    4   ->    11 U   0.00001896    24.18535217
    4   ->     7 D   0.00001853     4.58455546
    4   ->    10 D   0.00001825    22.21748572
    3   ->    10 D   0.00001748    23.90671968
    4   ->    10 U   0.00001587    22.46669327
    1   ->     7 D   0.00001576    14.98311966
    3   ->    11 D   0.00001462    25.49583446
    2   ->    11 U   0.00001450    28.57725226
    4   ->    12 U   0.00001294    29.52215782
    5   ->     9 D   0.00001257    18.17343230
    1   ->    11 U   0.00001223    34.42585177
    3   ->    12 U   0.00001079    30.89253310
    1   ->    10 D   0.00000749    32.61604992
    2   ->     8 D   0.00000746    20.60811654
    2   ->    11 D   0.00000697    28.13840922
    3   ->     8 U   0.00000651    17.56730274
    7   ->    11 U   0.00000508    19.24189504
    6   ->     8 U   0.00000461    12.08396299
    5   ->    11 U   0.00000384    23.70216091
    2   ->     8 U   0.00000324    20.58882754
    2   ->    12 D   0.00000284    34.01233561
    3   ->    12 D   0.00000246    31.36976085
    4   ->    12 D   0.00000227    29.68052689
    1   ->    12 D   0.00000194    40.07909109
    7   ->    12 U   0.00000193    24.57870068
    5   ->     7 D   0.00000156     4.10010468
    3   ->     9 D   0.00000127    20.34711704
    1   ->    11 D   0.00000117    34.20516469
    4   ->    11 D   0.00000092    23.80660049
    2   ->    10 D   0.00000070    26.54929444
    6   ->    11 D   0.00000059    19.27469476
    5   ->    10 D   0.00000055    21.73303494
    1   ->     9 D   0.00000040    29.05644728
    5   ->    11 D   0.00000035    23.32214971
    3   ->     8 D   0.00000031    17.96554179
    1   ->     8 D   0.00000027    26.67487202
    6   ->    12 D   0.00000026    25.14862116
    5   ->    12 U   0.00000011    29.03896655
    6   ->    10 D   0.00000002    17.68557999
    5   ->    12 D   0.00000002    29.19607611
    1   ->     8 U   0.00000001    26.43742705
    6   ->     9 D   0.00000001    14.12597735
    7   ->    10 U   0.00000000    17.52323614
    6   ->     7 D   0.00000000     0.05264973
 
  Energy       6     1.0958084817E+01 eV  U
 
  Transition         Weight        KS [eV]
 =============================================
    7   ->     8 U   0.90376327    11.25347032
    6   ->     8 D   0.42728023    11.74440209
    5   ->     8 D   0.01828684    15.79185704
    5   ->     8 U   0.01284389    15.71373619
    6   ->     8 U   0.00940166    12.08396299
