# MULLIKEN CHARGES of excited state S 2
#  Natoms =   6
# Atom        netCharge
#=========================================
    1       0.17217645
    2      -0.02038996
    3       0.17337671
    4       0.14712906
    5       0.25617505
    6       0.27153269
