 
  Energy       1     3.7845405705E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    4   ->    11     0.00019518    22.60625802
    2   ->    11     0.00010906    26.68824605
    5   ->     9     0.00007882    16.03516742
    4   ->     9     0.00007002    18.26638311
    6   ->     9     0.00006151    15.81130670
    2   ->    12     0.00005708    28.81305334
    6   ->     7     0.00005271     3.48296367
    1   ->     9     0.00004075    27.85634033
    3   ->    10     0.00003340    22.41393383
    2   ->     9     0.00002688    22.34837113
    4   ->    12     0.00002605    24.73106532
    1   ->    10     0.00002345    31.32922216
    3   ->     9     0.00001921    18.94105199
    5   ->    11     0.00001645    20.37504234
    1   ->    12     0.00001342    34.32102254
    6   ->     8     0.00001046    14.87113586
    4   ->     7     0.00001015     5.93804008
    3   ->    11     0.00000785    23.28092691
    4   ->     8     0.00000784    17.32621227
    1   ->    11     0.00000669    32.19621524
    3   ->    12     0.00000555    25.40573420
    2   ->    10     0.00000323    25.82125297
    2   ->     8     0.00000174    21.40820029
    4   ->    10     0.00000147    21.73926494
    5   ->     7     0.00000103     3.70682440
    6   ->    10     0.00000082    19.28418853
    3   ->     7     0.00000064     6.61270896
    1   ->     7     0.00000045    15.52799730
    6   ->    11     0.00000042    20.15118162
    1   ->     8     0.00000012    26.91616949
    6   ->    12     0.00000002    22.27598891
    5   ->    12     0.00000000    22.49984964
 
  Energy       6     1.4875856488E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     8     0.99998447    14.87113586
    5   ->     8     0.00557367    15.09499659
    4   ->     9     0.00003717    18.26638311
    3   ->    12     0.00002970    25.40573420
    2   ->     8     0.00001523    21.40820029
    4   ->    10     0.00001101    21.73926494
    5   ->    10     0.00001054    19.50804926
    1   ->    10     0.00000726    31.32922216
    5   ->    12     0.00000725    22.49984964
    5   ->    11     0.00000601    20.37504234
    2   ->     9     0.00000464    22.34837113
    3   ->     9     0.00000437    18.94105199
    5   ->     9     0.00000434    16.03516742
    1   ->     7     0.00000386    15.52799730
    6   ->     9     0.00000366    15.81130670
    1   ->     8     0.00000272    26.91616949
    2   ->    11     0.00000230    26.68824605
    4   ->     8     0.00000210    17.32621227
    4   ->    11     0.00000188    22.60625802
    2   ->    10     0.00000156    25.82125297
    3   ->     8     0.00000149    18.00088115
    6   ->    10     0.00000108    19.28418853
    2   ->     7     0.00000068    10.02002810
    3   ->    11     0.00000047    23.28092691
    2   ->    12     0.00000043    28.81305334
    4   ->    12     0.00000041    24.73106532
    1   ->     9     0.00000036    27.85634033
    3   ->     7     0.00000033     6.61270896
    6   ->    12     0.00000029    22.27598891
    3   ->    10     0.00000016    22.41393383
    6   ->     7     0.00000014     3.48296367
    1   ->    12     0.00000014    34.32102254
    6   ->    11     0.00000011    20.15118162
    1   ->    11     0.00000002    32.19621524
    4   ->     7     0.00000001     5.93804008
    5   ->     7     0.00000000     3.70682440
 
  Energy       7     1.5532386786E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    1   ->     7     0.99864960    15.52799730
    5   ->     8     0.05124759    15.09499659
    6   ->     9     0.00761015    15.81130670
    5   ->     9     0.00367097    16.03516742
    4   ->     9     0.00082162    18.26638311
    3   ->     8     0.00060087    18.00088115
    5   ->    10     0.00035553    19.50804926
    6   ->     8     0.00022736    14.87113586
    4   ->    11     0.00013724    22.60625802
    4   ->    10     0.00011731    21.73926494
    2   ->    11     0.00011256    26.68824605
    4   ->     8     0.00007628    17.32621227
    3   ->    10     0.00005926    22.41393383
    1   ->     9     0.00002524    27.85634033
    6   ->    10     0.00002383    19.28418853
    2   ->    12     0.00002090    28.81305334
    2   ->     8     0.00002039    21.40820029
    1   ->    12     0.00001752    34.32102254
    1   ->    11     0.00001327    32.19621524
    2   ->     9     0.00001291    22.34837113
    6   ->    12     0.00001257    22.27598891
    2   ->     7     0.00001000    10.02002810
    3   ->     9     0.00000768    18.94105199
    4   ->     7     0.00000754     5.93804008
    6   ->     7     0.00000504     3.48296367
    6   ->    11     0.00000229    20.15118162
    3   ->    12     0.00000162    25.40573420
    3   ->    11     0.00000088    23.28092691
    5   ->    11     0.00000055    20.37504234
    5   ->    12     0.00000053    22.49984964
    1   ->     8     0.00000043    26.91616949
    5   ->     7     0.00000013     3.70682440
    4   ->    12     0.00000013    24.73106532
    2   ->    10     0.00000003    25.82125297
    3   ->     7     0.00000002     6.61270896
    1   ->    10     0.00000000    31.32922216
 
  Energy       8     1.5690728968E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    5   ->     8     0.99492875    15.09499659
    1   ->     7     0.07160401    15.52799730
    5   ->     9     0.06400421    16.03516742
    6   ->     9     0.02788841    15.81130670
    6   ->     8     0.00552967    14.87113586
    5   ->    10     0.00510738    19.50804926
    4   ->    11     0.00480412    22.60625802
    3   ->     8     0.00356080    18.00088115
    2   ->    11     0.00346760    26.68824605
    4   ->     8     0.00264834    17.32621227
    4   ->    10     0.00109443    21.73926494
    4   ->     9     0.00101201    18.26638311
    3   ->     9     0.00089661    18.94105199
    3   ->    10     0.00055522    22.41393383
    4   ->    12     0.00041852    24.73106532
    2   ->    10     0.00036022    25.82125297
    2   ->     8     0.00027363    21.40820029
    3   ->    11     0.00024877    23.28092691
    2   ->     7     0.00022528    10.02002810
    1   ->    11     0.00018070    32.19621524
    6   ->    10     0.00015552    19.28418853
    4   ->     7     0.00006914     5.93804008
    1   ->    12     0.00005225    34.32102254
    5   ->    12     0.00004365    22.49984964
    1   ->     9     0.00003298    27.85634033
    2   ->     9     0.00003086    22.34837113
    6   ->    11     0.00002704    20.15118162
    2   ->    12     0.00001119    28.81305334
    1   ->     8     0.00001056    26.91616949
    1   ->    10     0.00000696    31.32922216
    5   ->    11     0.00000397    20.37504234
    6   ->     7     0.00000349     3.48296367
    3   ->    12     0.00000221    25.40573420
    3   ->     7     0.00000124     6.61270896
    6   ->    12     0.00000120    22.27598891
    5   ->     7     0.00000089     3.70682440
 
