 36 8
     1   S    2.1643575436E-01
 -9.8093104103E-01  1.7928039753E-01 -5.9057105898E-04  4.4372918070E-03 -4.4119894144E-05  3.5535305588E-03
  1.9481156646E-03  2.1671048582E-04 -5.9667949572E-05  1.8647743893E-04  8.2696091487E-04  2.6914611710E-05
 -6.0954666951E-05  1.0767831313E-04 -7.2424479303E-04 -4.4555395546E-05 -2.4149447371E-04  3.0423215360E-04
  8.6437903336E-04  2.1840408088E-03  2.4437585210E-04  1.5415391390E-03 -2.7540029634E-03 -5.2747625020E-03
  2.9013210733E-03 -7.4890357925E-04  3.6537785559E-04  1.0463304547E-03  9.7674368288E-05 -2.3564740769E-05
  7.5542029200E-04 -7.6153909422E-05 -8.4234254540E-03 -1.8423322693E-04 -5.0567558616E-03 -9.4760183336E-03
     2   S    3.1657288891E-01
 -1.3195954980E-01 -8.8613646224E-01 -8.8170324883E-02  9.9593169189E-02 -6.5110611401E-04  8.0399262393E-02
  1.4673353571E-03  3.7232149182E-03 -3.2499525240E-04  1.5821051282E-03  8.5489343062E-04  3.2274111743E-04
  5.4639081818E-03  2.8906433115E-02  7.8103385774E-03  1.7298294252E-04 -1.2810877517E-03  1.9458801452E-04
  1.7684312782E-03  1.1547470376E-02  3.9681965282E-03 -5.1951808327E-03 -1.3858475302E-02 -2.7156122356E-02
  1.2285611115E-02 -9.2241776988E-04  2.1843549718E-03  1.7358879049E-03  1.6971324938E-03  6.8523072685E-03
  3.2541524028E-03 -9.3794841020E-04 -6.4165090978E-02 -5.3666048806E-04 -3.8717579288E-02 -6.9868500730E-02
     3   S    3.2202293942E-01
  1.1824067287E-02  7.6777113333E-02 -9.9579684652E-01 -1.1156787093E-02  2.4344485999E-05 -8.0645438754E-03
 -8.9338257914E-05 -6.7315798828E-03 -3.8429944579E-04 -8.4190972578E-03  1.0924656711E-04  2.7854131527E-03
  1.3572985844E-03 -3.2857174890E-03 -1.3224195888E-03  3.8071578708E-04 -2.1177680739E-03 -5.7657131426E-04
 -3.5998108199E-05 -2.0326427901E-03 -2.1692104144E-03  8.0334916769E-04 -1.8541207950E-03  4.0453230350E-03
  2.2164250536E-04  3.2644184722E-03  2.2642551755E-03 -1.9877845657E-04  4.9556370522E-05 -8.1126880736E-04
