# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.13439716
    2      -0.12425214
    3       0.33181415
    4       0.32786780
    5       0.29745869
    6       0.30150867
