# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1       0.08183789
    2      -0.00334978
    3       0.23116441
    4       0.15622401
    5       0.30851103
    6       0.22561243
