# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.41082768
    2      -0.40734865
    3       0.20547233
    4       0.20516710
    5       0.20640288
    6       0.20113401
